Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,1417.151123,1947.837769,1416.416138,1918.362061,1918.362061,730832219123
2021-04-01,1919.157227,2797.972412,1912.178467,2773.207031,2773.207031,995334204881
2021-05-01,2772.838379,4362.350586,1737.46875,2714.945313,2714.945313,1510329786014
2021-06-01,2707.560547,2891.254883,1707.600586,2274.547607,2274.547607,813523116983
2021-07-01,2274.397461,2551.161133,1722.050781,2536.209961,2536.209961,591738936958
2021-08-01,2530.462891,3466.992188,2449.353516,3433.732666,3433.732666,703006251884
2021-09-01,3430.762451,4022.469238,2676.407471,3001.678955,3001.678955,653984909752
2021-10-01,3001.129395,4455.735352,2978.654297,4288.074219,4288.074219,574798465423
2021-11-01,4288.217285,4891.70459,3933.506592,4631.479004,4631.479004,573546775953
2021-12-01,4623.679688,4780.732422,3525.494141,3682.632813,3682.632813,621042023890
2022-01-01,3683.047119,3876.785156,2172.30127,2688.278809,2688.278809,491108556504
2022-02-01,2687.898926,3271.316162,2308.914795,2919.201172,2919.201172,416163449938
2022-03-01,2919.775879,3183.958008,2455.59375,3106.671387,3106.671387,341402386762
2022-03-26,3104.436035,3134.796143,3094.06665,3117.831055,3117.831055,12822988800
